Platform,qtr,Forecast_3m
INSBU_N3K/9K 100G Fiber,Q2FY21,40
INSBU_N3K/9K 100G Fiber,Q2FY22,68
INSBU_N3K/9K 100G Fiber,Q3FY21,42
INSBU_N3K/9K 100G Fiber,Q4FY21,50
INSBU_N3K/9K 100G Fiber,Q4FY22,77
INSBU_N9500 Modular,Q1FY22,1593
INSBU_N9500 Modular,Q2FY21,1147
INSBU_N9500 Modular,Q2FY22,1635
INSBU_N9500 Modular,Q3FY21,1101
INSBU_N9500 Modular,Q3FY22,1584
INSBU_N9500 Modular,Q4FY21,1147
INSBU_N9500 Modular,Q4FY22,1285
IOTBU_Connected Grid Routers,Q1FY22,1362
IOTBU_Connected Grid Routers,Q2FY21,1752
IOTBU_Connected Grid Routers,Q2FY22,1310
IOTBU_Connected Grid Routers,Q3FY21,1873
IOTBU_Connected Grid Routers,Q3FY22,884
IOTBU_Connected Grid Routers,Q4FY21,1117
IOTBU_Connected Grid Routers,Q4FY22,1549
IOTBU_Connected Grid Switch,Q1FY22,1106
IOTBU_Connected Grid Switch,Q2FY21,1306
IOTBU_Connected Grid Switch,Q2FY22,796
IOTBU_Connected Grid Switch,Q3FY21,1028
IOTBU_Connected Grid Switch,Q3FY22,452
IOTBU_Connected Grid Switch,Q4FY21,1023
IOTBU_Connected Grid Switch,Q4FY22,392
IOTBU_Embedded Service Switch,Q1FY22,4105
IOTBU_Embedded Service Switch,Q2FY21,2462
IOTBU_Embedded Service Switch,Q2FY22,11702
IOTBU_Embedded Service Switch,Q3FY21,2287
IOTBU_Embedded Service Switch,Q3FY22,6430
IOTBU_Embedded Service Switch,Q4FY21,2334
IOTBU_Embedded Service Switch,Q4FY22,3169
IOTBU_Embedded Services Routers,Q1FY22,1867
IOTBU_Embedded Services Routers,Q2FY21,2279
IOTBU_Embedded Services Routers,Q2FY22,4576
IOTBU_Embedded Services Routers,Q3FY21,1277
IOTBU_Embedded Services Routers,Q3FY22,2411
IOTBU_Embedded Services Routers,Q4FY21,1565
IOTBU_Embedded Services Routers,Q4FY22,998
IOTBU_Embeded Service AP,Q1FY22,214
IOTBU_Embeded Service AP,Q2FY21,75
IOTBU_Embeded Service AP,Q2FY22,100
IOTBU_Embeded Service AP,Q3FY22,42
IOTBU_Embeded Service AP,Q4FY21,36
IOTBU_Embeded Service AP,Q4FY22,27
IOTBU_Industrial Ethernet Switch,Q1FY22,60005
IOTBU_Industrial Ethernet Switch,Q2FY21,67182
IOTBU_Industrial Ethernet Switch,Q2FY22,63420
IOTBU_Industrial Ethernet Switch,Q3FY21,55533
IOTBU_Industrial Ethernet Switch,Q3FY22,62314
IOTBU_Industrial Ethernet Switch,Q4FY21,39802
IOTBU_Industrial Ethernet Switch,Q4FY22,55446
IOTBU_Industrial Wrls AP,Q1FY22,3805
IOTBU_Industrial Wrls AP,Q2FY21,1783
IOTBU_Industrial Wrls AP,Q2FY22,3417
IOTBU_Industrial Wrls AP,Q3FY21,2463
IOTBU_Industrial Wrls AP,Q3FY22,2429
IOTBU_Industrial Wrls AP,Q4FY21,2575
IOTBU_Industrial Wrls AP,Q4FY22,2429
IOTBU_Integrated Services Router,Q1FY22,12588
IOTBU_Integrated Services Router,Q2FY21,11052
IOTBU_Integrated Services Router,Q2FY22,15407
IOTBU_Integrated Services Router,Q3FY21,12184
IOTBU_Integrated Services Router,Q3FY22,14866
IOTBU_Integrated Services Router,Q4FY21,18550
IOTBU_Integrated Services Router,Q4FY22,25434
IOTBU_Outdoor AP,Q3FY21,13
IOTBU_Outdoor AP,Q4FY22,15
IOTBU_Rockwell IOT Switching,Q1FY22,31114
IOTBU_Rockwell IOT Switching,Q2FY21,6906
IOTBU_Rockwell IOT Switching,Q2FY22,21333
IOTBU_Rockwell IOT Switching,Q3FY21,12776
IOTBU_Rockwell IOT Switching,Q3FY22,35988
IOTBU_Rockwell IOT Switching,Q4FY21,18441
IOTBU_Rockwell IOT Switching,Q4FY22,43459
